task,model,true,predicted,count
crowd,bert-base-historic-dutch-cased,ABSTRACT,ABSTRACT,116
crowd,bert-base-historic-dutch-cased,ABSTRACT,CROWD,12
crowd,bert-base-historic-dutch-cased,CROWD,ABSTRACT,10
crowd,bert-base-historic-dutch-cased,CROWD,CROWD,160
crowd,multilingual-e5-base,ABSTRACT,ABSTRACT,119
crowd,multilingual-e5-base,ABSTRACT,CROWD,9
crowd,multilingual-e5-base,CROWD,ABSTRACT,13
crowd,multilingual-e5-base,CROWD,CROWD,157
crowd,bert-base-multilingual-uncased,ABSTRACT,ABSTRACT,114
crowd,bert-base-multilingual-uncased,ABSTRACT,CROWD,14
crowd,bert-base-multilingual-uncased,CROWD,ABSTRACT,11
crowd,bert-base-multilingual-uncased,CROWD,CROWD,159
crowd,robbert-v2-dutch-base,ABSTRACT,ABSTRACT,117
crowd,robbert-v2-dutch-base,ABSTRACT,CROWD,11
crowd,robbert-v2-dutch-base,CROWD,ABSTRACT,12
crowd,robbert-v2-dutch-base,CROWD,CROWD,158
