task,model,true,predicted,count
human,bert-base-historic-dutch-cased,NONHUMAN,NONHUMAN,208
human,bert-base-historic-dutch-cased,NONHUMAN,HUMAN,0
human,bert-base-historic-dutch-cased,HUMAN,NONHUMAN,2
human,bert-base-historic-dutch-cased,HUMAN,HUMAN,144
human,multilingual-e5-base,NONHUMAN,NONHUMAN,202
human,multilingual-e5-base,NONHUMAN,HUMAN,6
human,multilingual-e5-base,HUMAN,NONHUMAN,16
human,multilingual-e5-base,HUMAN,HUMAN,130
human,bert-base-multilingual-uncased,NONHUMAN,NONHUMAN,197
human,bert-base-multilingual-uncased,NONHUMAN,HUMAN,11
human,bert-base-multilingual-uncased,HUMAN,NONHUMAN,14
human,bert-base-multilingual-uncased,HUMAN,HUMAN,132
human,robbert-v2-dutch-base,NONHUMAN,NONHUMAN,201
human,robbert-v2-dutch-base,NONHUMAN,HUMAN,7
human,robbert-v2-dutch-base,HUMAN,NONHUMAN,8
human,robbert-v2-dutch-base,HUMAN,HUMAN,138
