task,model,true,predicted,count
situation,bert-base-historic-dutch-cased,POLITICS,POLITICS,22
situation,bert-base-historic-dutch-cased,POLITICS,ECONOMY,2
situation,bert-base-historic-dutch-cased,POLITICS,RELIGION,3
situation,bert-base-historic-dutch-cased,POLITICS,SOCIAL,2
situation,bert-base-historic-dutch-cased,POLITICS,MILITARY,2
situation,bert-base-historic-dutch-cased,ECONOMY,POLITICS,0
situation,bert-base-historic-dutch-cased,ECONOMY,ECONOMY,6
situation,bert-base-historic-dutch-cased,ECONOMY,RELIGION,0
situation,bert-base-historic-dutch-cased,ECONOMY,SOCIAL,1
situation,bert-base-historic-dutch-cased,ECONOMY,MILITARY,0
situation,bert-base-historic-dutch-cased,RELIGION,POLITICS,0
situation,bert-base-historic-dutch-cased,RELIGION,ECONOMY,0
situation,bert-base-historic-dutch-cased,RELIGION,RELIGION,9
situation,bert-base-historic-dutch-cased,RELIGION,SOCIAL,1
situation,bert-base-historic-dutch-cased,RELIGION,MILITARY,0
situation,bert-base-historic-dutch-cased,SOCIAL,POLITICS,6
situation,bert-base-historic-dutch-cased,SOCIAL,ECONOMY,1
situation,bert-base-historic-dutch-cased,SOCIAL,RELIGION,0
situation,bert-base-historic-dutch-cased,SOCIAL,SOCIAL,30
situation,bert-base-historic-dutch-cased,SOCIAL,MILITARY,2
situation,bert-base-historic-dutch-cased,MILITARY,POLITICS,0
situation,bert-base-historic-dutch-cased,MILITARY,ECONOMY,0
situation,bert-base-historic-dutch-cased,MILITARY,RELIGION,0
situation,bert-base-historic-dutch-cased,MILITARY,SOCIAL,1
situation,bert-base-historic-dutch-cased,MILITARY,MILITARY,13
