task,model,true,predicted,count
type,bert-base-historic-dutch-cased,CITIZENS,CITIZENS,6
type,bert-base-historic-dutch-cased,CITIZENS,MILITARY,1
type,bert-base-historic-dutch-cased,CITIZENS,LOWER,4
type,bert-base-historic-dutch-cased,CITIZENS,PEOPLE,4
type,bert-base-historic-dutch-cased,CITIZENS,COLONIAL,0
type,bert-base-historic-dutch-cased,CITIZENS,FACELESS,2
type,bert-base-historic-dutch-cased,MILITARY,CITIZENS,0
type,bert-base-historic-dutch-cased,MILITARY,MILITARY,9
type,bert-base-historic-dutch-cased,MILITARY,LOWER,0
type,bert-base-historic-dutch-cased,MILITARY,PEOPLE,1
type,bert-base-historic-dutch-cased,MILITARY,COLONIAL,0
type,bert-base-historic-dutch-cased,MILITARY,FACELESS,1
type,bert-base-historic-dutch-cased,LOWER,CITIZENS,0
type,bert-base-historic-dutch-cased,LOWER,MILITARY,0
type,bert-base-historic-dutch-cased,LOWER,LOWER,6
type,bert-base-historic-dutch-cased,LOWER,PEOPLE,4
type,bert-base-historic-dutch-cased,LOWER,COLONIAL,2
type,bert-base-historic-dutch-cased,LOWER,FACELESS,1
type,bert-base-historic-dutch-cased,PEOPLE,CITIZENS,0
type,bert-base-historic-dutch-cased,PEOPLE,MILITARY,1
type,bert-base-historic-dutch-cased,PEOPLE,LOWER,6
type,bert-base-historic-dutch-cased,PEOPLE,PEOPLE,13
type,bert-base-historic-dutch-cased,PEOPLE,COLONIAL,3
type,bert-base-historic-dutch-cased,PEOPLE,FACELESS,1
type,bert-base-historic-dutch-cased,COLONIAL,CITIZENS,0
type,bert-base-historic-dutch-cased,COLONIAL,MILITARY,2
type,bert-base-historic-dutch-cased,COLONIAL,LOWER,3
type,bert-base-historic-dutch-cased,COLONIAL,PEOPLE,1
type,bert-base-historic-dutch-cased,COLONIAL,COLONIAL,1
type,bert-base-historic-dutch-cased,COLONIAL,FACELESS,0
type,bert-base-historic-dutch-cased,FACELESS,CITIZENS,0
type,bert-base-historic-dutch-cased,FACELESS,MILITARY,2
type,bert-base-historic-dutch-cased,FACELESS,LOWER,1
type,bert-base-historic-dutch-cased,FACELESS,PEOPLE,1
type,bert-base-historic-dutch-cased,FACELESS,COLONIAL,1
type,bert-base-historic-dutch-cased,FACELESS,FACELESS,21
