task,model,metric,value
crowd,bert-base-historic-dutch-cased,F1,0.935673
crowd,bert-base-historic-dutch-cased,Accuracy,0.926174
crowd,bert-base-historic-dutch-cased,Precision,0.930233
crowd,bert-base-historic-dutch-cased,Recall,0.941176
crowd,multilingual-e5-base,F1,0.934524
crowd,multilingual-e5-base,Accuracy,0.926174
crowd,multilingual-e5-base,Precision,0.945783
crowd,multilingual-e5-base,Recall,0.923529
crowd,bert-base-multilingual-uncased,F1,0.927114
crowd,bert-base-multilingual-uncased,Accuracy,0.916107
crowd,bert-base-multilingual-uncased,Precision,0.919075
crowd,bert-base-multilingual-uncased,Recall,0.935294
crowd,robbert-v2-dutch-base,F1,0.932153
crowd,robbert-v2-dutch-base,Accuracy,0.922819
crowd,robbert-v2-dutch-base,Precision,0.934911
crowd,robbert-v2-dutch-base,Recall,0.929412
