task,model,metric,value
human,bert-base-historic-dutch-cased,F1,0.972381
human,bert-base-historic-dutch-cased,Accuracy,0.973837
human,bert-base-historic-dutch-cased,Precision,0.969289
human,bert-base-historic-dutch-cased,Recall,0.975953
human,multilingual-e5-base,F1,0.934984
human,multilingual-e5-base,Accuracy,0.938953
human,multilingual-e5-base,Precision,0.935659
human,multilingual-e5-base,Recall,0.934328
human,bert-base-multilingual-uncased,F1,0.908064
human,bert-base-multilingual-uncased,Accuracy,0.912791
human,bert-base-multilingual-uncased,Precision,0.904977
human,bert-base-multilingual-uncased,Recall,0.91179
human,robbert-v2-dutch-base,F1,0.929215
human,robbert-v2-dutch-base,Accuracy,0.93314
human,robbert-v2-dutch-base,Precision,0.927431
human,robbert-v2-dutch-base,Recall,0.931165
