task,model,metric,value
sentiment,bert-base-historic-dutch-cased,F1,0.5338
sentiment,bert-base-historic-dutch-cased,Accuracy,0.831461
sentiment,bert-base-historic-dutch-cased,Precision,0.531385
sentiment,bert-base-historic-dutch-cased,Recall,0.542569
sentiment,multilingual-e5-base,F1,0.324891
sentiment,multilingual-e5-base,Accuracy,0.741573
sentiment,multilingual-e5-base,Precision,0.415709
sentiment,multilingual-e5-base,Recall,0.352092
sentiment,bert-base-multilingual-uncased,F1,0.534833
sentiment,bert-base-multilingual-uncased,Accuracy,0.797753
sentiment,bert-base-multilingual-uncased,Precision,0.825598
sentiment,bert-base-multilingual-uncased,Recall,0.503127
sentiment,robbert-v2-dutch-base,F1,0.5338
sentiment,robbert-v2-dutch-base,Accuracy,0.831461
sentiment,robbert-v2-dutch-base,Precision,0.531385
sentiment,robbert-v2-dutch-base,Recall,0.542569
sentiment,bert-base-multilingual-uncased-sentiment,F1,0.453771
sentiment,bert-base-multilingual-uncased-sentiment,Accuracy,0.752809
sentiment,bert-base-multilingual-uncased-sentiment,Precision,0.425143
sentiment,bert-base-multilingual-uncased-sentiment,Recall,0.488456
